sourcecontrol_id,control_identifier,control_name,sp800_53_family,catalog,source_document
SC-13,SC-13,Cryptographic Protection,SC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SC-15,SC-15,Collaborative Computing Devices and Applications,SC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SC-17,SC-17,Public Key Infrastructure Certificates,SC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SC-18,SC-18,Mobile Code,SC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SC-20,SC-20,Secure Name/Address Resolution Service (Authoritative Source),SC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SC-21,SC-21,Secure Name/Address Resolution Service (Recursive or Caching Resolver),SC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SC-22,SC-22,Architecture and Provisioning for Name/Address Resolution Service,SC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SC-23,SC-23,Session Authenticity,SC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SC-28,SC-28,Protection of Information at Rest,SC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SC-28(01),SC-28(01),Protection of Information at Rest | Cryptographic Protection,SC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SC-39,SC-39,Process Isolation,SC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SI-01,SI-01,Policy and Procedures,SI,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SI-02,SI-02,Flaw Remediation,SI,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SI-02(02),SI-02(02),Flaw Remediation | Automated Flaw Remediation Status,SI,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SI-03,SI-03,Malicious Code Protection,SI,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SI-04,SI-04,System Monitoring,SI,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SI-04(02),SI-04(02),System Monitoring | Automated Tools and Mechanisms for Real- Time Analysis,SI,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SI-04(04),SI-04(04),System Monitoring | Inbound and Outbound Communications Traffic,SI,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SI-04(05),SI-04(05),System Monitoring | System-Generated Alerts,SI,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SI-05,SI-05,"Security Alerts, Advisories, and Directives",SI,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SI-07,SI-07,"Software, Firmware, and Information Integrity",SI,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SI-07(01),SI-07(01),"Software, Firmware, and Information Integrity | Integrity Checks",SI,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SI-07(07),SI-07(07),"Software, Firmware, and Information Integrity | Integration of Detection and Response",SI,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SI-08,SI-08,Spam Protection,SI,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SI-08(02),SI-08(02),Spam Protection | Automatic Updates,SI,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SI-10,SI-10,Information Input Validation,SI,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SI-11,SI-11,Error Handling,SI,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SI-12,SI-12,Information Management and Retention,SI,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SI-16,SI-16,Memory Protection,SI,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SR-01,SR-01,Policy and Procedures,SR,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SR-02,SR-02,Supply Chain Risk Management Plan,SR,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SR-02(01),SR-02(01),Supply Chain Risk Management Plan | Establish SCRM Team,SR,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SR-03,SR-03,Supply Chain Controls and Processes,SR,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SR-05,SR-05,"Acquisition Strategies, Tools, and Methods",SR,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SR-06,SR-06,Supplier Assessments and Reviews,SR,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SR-08,SR-08,Notification Agreements,SR,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SR-10,SR-10,Inspection of Systems or Components,SR,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SR-11,SR-11,Component Authenticity,SR,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SR-11(01),SR-11(01),Component Authenticity | Anti-Counterfeit Training,SR,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SR-11(02),SR-11(02),Component Authenticity | Configuration Control for Component Service and Repair,SR,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SR-12,SR-12,Component Disposal,SR,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
